备份表: evdata_backup_20260114  总行数: 4,098,788  额定功率非空: 4,090,312

=== 额定功率 分布 ===
额定功率                                        数量         占比
----------------------------------------------------------
7                                    1,866,814      45.5%
120                                    565,729      13.8%
60                                     384,586       9.4%
0                                      116,320       2.8%
3                                      111,456       2.7%
180                                    109,564       2.7%
80                                      95,750       2.3%
160                                     91,125       2.2%
240                                     83,710       2.0%
30                                      73,857       1.8%
150                                     67,858       1.7%
40                                      51,936       1.3%
360                                     46,564       1.1%
14                                      42,737       1.0%
200                                     41,837       1.0%
250                                     37,714       0.9%
20                                      29,875       0.7%
480                                     23,960       0.6%
320                                     22,868       0.6%
4                                       19,251       0.5%
90                                      17,966       0.4%
300                                     17,186       0.4%
125                                     12,647       0.3%
100                                     11,921       0.3%
21                                      10,993       0.3%
720                                     10,671       0.3%
96                                      10,660       0.3%
400                                     10,328       0.3%
42                                       9,219       0.2%
50                                       9,053       0.2%
NULL                                     8,476       0.2%
45                                       8,016       0.2%
960                                      6,410       0.2%
600                                      5,934       0.1%
500                                      5,386       0.1%
188                                      4,850       0.1%
135                                      4,039       0.1%
10                                       3,822       0.1%
48                                       3,263       0.1%
75                                       2,504       0.1%
800                                      2,483       0.1%
8                                        2,391       0.1%
22                                       2,364       0.1%
114                                      2,263       0.1%
84                                       1,958       0.0%
102                                      1,844       0.0%
15                                       1,757       0.0%
640                                      1,510       0.0%
11                                       1,312       0.0%
66                                       1,280       0.0%
1000                                     1,237       0.0%
1440                                     1,215       0.0%
24                                       1,175       0.0%
133                                      1,173       0.0%
106                                      1,169       0.0%
72                                       1,147       0.0%
140                                        920       0.0%
105                                        899       0.0%
51                                         818       0.0%
28                                         644       0.0%
1200                                       549       0.0%
35                                         471       0.0%
128                                        467       0.0%
204                                        447       0.0%
53                                         445       0.0%
68                                         438       0.0%
85                                         402       0.0%
144                                        382       0.0%
64                                         339       0.0%
108                                        314       0.0%
147                                        314       0.0%
12                                         304       0.0%
44                                         300       0.0%
104                                        294       0.0%
57                                         266       0.0%
87                                         262       0.0%
88                                         253       0.0%
36                                         249       0.0%
137                                        241       0.0%
62                                         236       0.0%
55                                         234       0.0%
91                                         233       0.0%
280                                        226       0.0%
220                                        222       0.0%
65                                         171       0.0%
210                                        167       0.0%
420                                        163       0.0%
67                                         159       0.0%
880                                        149       0.0%
70                                         144       0.0%
1280                                       139       0.0%
132                                        136       0.0%
33                                         136       0.0%
126                                        124       0.0%
56                                         123       0.0%
37                                         115       0.0%
116                                        110       0.0%
840                                        102       0.0%
111                                        101       0.0%
71                                          98       0.0%
260                                         90       0.0%
63                                          82       0.0%
166                                         78       0.0%
660                                         76       0.0%
450                                         72       0.0%
41                                          71       0.0%
165                                         69       0.0%
380                                         68       0.0%
43                                          67       0.0%
110                                         66       0.0%
112                                         64       0.0%
54                                          61       0.0%
32                                          58       0.0%
1                                           56       0.0%
900                                         53       0.0%
255                                         52       0.0%
162                                         52       0.0%
1600                                        50       0.0%
83                                          48       0.0%
5                                           40       0.0%
61                                          39       0.0%
107                                         38       0.0%
750                                         36       0.0%
98                                          35       0.0%
49                                          35       0.0%
187                                         34       0.0%
1680                                        31       0.0%
109                                         31       0.0%
174                                         30       0.0%
138                                         28       0.0%
142                                         28       0.0%
82                                          28       0.0%
192                                         27       0.0%
31                                          27       0.0%
46                                          26       0.0%
73                                          26       0.0%
164                                         26       0.0%
375                                         25       0.0%
945                                         25       0.0%
825                                         23       0.0%
58                                          23       0.0%
225                                         23       0.0%
47                                          23       0.0%
440                                         22       0.0%
285                                         20       0.0%
23                                          20       0.0%
103                                         19       0.0%
38                                          18       0.0%
330                                         18       0.0%
26                                          18       0.0%
52                                          16       0.0%
630                                         16       0.0%
77                                          15       0.0%
171                                         14       0.0%
270                                         14       0.0%
94                                          12       0.0%
13                                          12       0.0%
113                                         11       0.0%
121                                         10       0.0%
540                                          9       0.0%
425                                          8       0.0%
266                                          8       0.0%
9600                                         7       0.0%
524                                          7       0.0%
636                                          7       0.0%
25                                           7       0.0%
130                                          7       0.0%
350                                          6       0.0%
2                                            6       0.0%
6                                            6       0.0%
78                                           5       0.0%
1500                                         4       0.0%
3000                                         4       0.0%
315                                          4       0.0%
175                                          4       0.0%
39                                           4       0.0%
95                                           4       0.0%
1170                                         4       0.0%
324                                          4       0.0%
1875                                         4       0.0%
268                                          4       0.0%
134                                          3       0.0%
69                                           3       0.0%
625                                          3       0.0%
340                                          3       0.0%
644                                          2       0.0%
115                                          2       0.0%
13312                                        2       0.0%
1260                                         2       0.0%
1250                                         2       0.0%
74                                           1       0.0%
7000                                         1       0.0%
59                                           1       0.0%
119                                          1       0.0%
29                                           1       0.0%
13056                                        1       0.0%
13824                                        1       0.0%
12800                                        1       0.0%
155                                          1       0.0%

